participant_id,sub,cohort,task,excluded,exclusion_reason
sub-CC520424,CC520424,camcan,Movie,False,
sub-CC520477,CC520477,camcan,Movie,False,
sub-CC520480,CC520480,camcan,Movie,False,
sub-CC520503,CC520503,camcan,Movie,False,
sub-CC520517,CC520517,camcan,Movie,False,
sub-CC520552,CC520552,camcan,Movie,False,
sub-CC520560,CC520560,camcan,Movie,False,
sub-CC520562,CC520562,camcan,Movie,False,
sub-CC520584,CC520584,camcan,Movie,False,
sub-CC520585,CC520585,camcan,Movie,False,
sub-CC520597,CC520597,camcan,Movie,False,
sub-CC520607,CC520607,camcan,Movie,False,
sub-CC520624,CC520624,camcan,Movie,False,
sub-CC520673,CC520673,camcan,Movie,False,
sub-CC520745,CC520745,camcan,Movie,False,
sub-CC520775,CC520775,camcan,Movie,False,
sub-CC520868,CC520868,camcan,Movie,False,
sub-CC520980,CC520980,camcan,Movie,False,
sub-CC521040,CC521040,camcan,Movie,False,
sub-CC610022,CC610022,camcan,Movie,False,
sub-CC610028,CC610028,camcan,Movie,False,
sub-CC610039,CC610039,camcan,Movie,False,
sub-CC610040,CC610040,camcan,Movie,False,
sub-CC610046,CC610046,camcan,Movie,False,
sub-CC610051,CC610051,camcan,Movie,False,
sub-CC610052,CC610052,camcan,Movie,False,
sub-CC610058,CC610058,camcan,Movie,False,
sub-CC610061,CC610061,camcan,Movie,False,
sub-CC610071,CC610071,camcan,Movie,False,
sub-CC610076,CC610076,camcan,Movie,False,
sub-CC610099,CC610099,camcan,Movie,False,
sub-CC610101,CC610101,camcan,Movie,False,
sub-CC610146,CC610146,camcan,Movie,False,
sub-CC610178,CC610178,camcan,Movie,False,
sub-CC610210,CC610210,camcan,Movie,False,
sub-CC610212,CC610212,camcan,Movie,False,
sub-CC610227,CC610227,camcan,Movie,False,
sub-CC610285,CC610285,camcan,Movie,False,
sub-CC610288,CC610288,camcan,Movie,False,
sub-CC610292,CC610292,camcan,Movie,False,
sub-CC610308,CC610308,camcan,Movie,False,
sub-CC610344,CC610344,camcan,Movie,False,
sub-CC610372,CC610372,camcan,Movie,False,
sub-CC610392,CC610392,camcan,Movie,False,
sub-CC610405,CC610405,camcan,Movie,False,
sub-CC610462,CC610462,camcan,Movie,False,
sub-CC610469,CC610469,camcan,Movie,False,
sub-CC610496,CC610496,camcan,Movie,False,
sub-CC610508,CC610508,camcan,Movie,False,
sub-CC610568,CC610568,camcan,Movie,False,
sub-CC610575,CC610575,camcan,Movie,False,
sub-CC610576,CC610576,camcan,Movie,False,
sub-CC610594,CC610594,camcan,Movie,False,
sub-CC610614,CC610614,camcan,Movie,False,
sub-CC610625,CC610625,camcan,Movie,False,
sub-CC610631,CC610631,camcan,Movie,False,
sub-CC610653,CC610653,camcan,Movie,False,
sub-CC610658,CC610658,camcan,Movie,False,
sub-CC610671,CC610671,camcan,Movie,False,
sub-CC620005,CC620005,camcan,Movie,False,
sub-CC620026,CC620026,camcan,Movie,False,
sub-CC620044,CC620044,camcan,Movie,False,
sub-CC620073,CC620073,camcan,Movie,False,
sub-CC620085,CC620085,camcan,Movie,False,
sub-CC620090,CC620090,camcan,Movie,False,
sub-CC620106,CC620106,camcan,Movie,False,
sub-CC620114,CC620114,camcan,Movie,False,
sub-CC620118,CC620118,camcan,Movie,False,
sub-CC620121,CC620121,camcan,Movie,False,
sub-CC620129,CC620129,camcan,Movie,False,
sub-CC620152,CC620152,camcan,Movie,False,
sub-CC620164,CC620164,camcan,Movie,False,
sub-CC620193,CC620193,camcan,Movie,False,
sub-CC620259,CC620259,camcan,Movie,False,
sub-CC620262,CC620262,camcan,Movie,False,
sub-CC620264,CC620264,camcan,Movie,False,
sub-CC620279,CC620279,camcan,Movie,False,
sub-CC620284,CC620284,camcan,Movie,False,
sub-CC620314,CC620314,camcan,Movie,False,
sub-CC620354,CC620354,camcan,Movie,False,
sub-CC620359,CC620359,camcan,Movie,False,
sub-CC620405,CC620405,camcan,Movie,False,
sub-CC620406,CC620406,camcan,Movie,False,
sub-CC620413,CC620413,camcan,Movie,False,
sub-CC620429,CC620429,camcan,Movie,False,
sub-CC620436,CC620436,camcan,Movie,False,
sub-CC620444,CC620444,camcan,Movie,False,
sub-CC620451,CC620451,camcan,Movie,False,
sub-CC620454,CC620454,camcan,Movie,False,
sub-CC620466,CC620466,camcan,Movie,False,
sub-CC620479,CC620479,camcan,Movie,False,
sub-CC620490,CC620490,camcan,Movie,False,
sub-CC620496,CC620496,camcan,Movie,False,
sub-CC620499,CC620499,camcan,Movie,False,
sub-CC620515,CC620515,camcan,Movie,False,
sub-CC620518,CC620518,camcan,Movie,False,
sub-CC620526,CC620526,camcan,Movie,False,
sub-CC620549,CC620549,camcan,Movie,False,
sub-CC620557,CC620557,camcan,Movie,False,
sub-CC620560,CC620560,camcan,Movie,False,
sub-CC620567,CC620567,camcan,Movie,False,
sub-CC620572,CC620572,camcan,Movie,False,
sub-CC620592,CC620592,camcan,Movie,False,
sub-CC620610,CC620610,camcan,Movie,False,
sub-CC620619,CC620619,camcan,Movie,False,
sub-CC620659,CC620659,camcan,Movie,False,
sub-CC620685,CC620685,camcan,Movie,False,
sub-CC620720,CC620720,camcan,Movie,False,
sub-CC620785,CC620785,camcan,Movie,False,
sub-CC620793,CC620793,camcan,Movie,False,
sub-CC620821,CC620821,camcan,Movie,False,
sub-CC620885,CC620885,camcan,Movie,False,
sub-CC620919,CC620919,camcan,Movie,False,
sub-CC620935,CC620935,camcan,Movie,False,
sub-CC621011,CC621011,camcan,Movie,False,
sub-CC621080,CC621080,camcan,Movie,False,
sub-CC621118,CC621118,camcan,Movie,False,
sub-CC621128,CC621128,camcan,Movie,False,
sub-CC621184,CC621184,camcan,Movie,False,
sub-CC621199,CC621199,camcan,Movie,False,
sub-CC621248,CC621248,camcan,Movie,False,
sub-CC621284,CC621284,camcan,Movie,False,
sub-CC621642,CC621642,camcan,Movie,False,
sub-CC710037,CC710037,camcan,Movie,False,
sub-CC710088,CC710088,camcan,Movie,False,
sub-CC710099,CC710099,camcan,Movie,False,
sub-CC710131,CC710131,camcan,Movie,False,
sub-CC710154,CC710154,camcan,Movie,False,
sub-CC710176,CC710176,camcan,Movie,False,
sub-CC710313,CC710313,camcan,Movie,False,
sub-CC710342,CC710342,camcan,Movie,False,
sub-CC710350,CC710350,camcan,Movie,False,
sub-CC710382,CC710382,camcan,Movie,False,
sub-CC710416,CC710416,camcan,Movie,False,
sub-CC710429,CC710429,camcan,Movie,False,
sub-CC710446,CC710446,camcan,Movie,False,
sub-CC710462,CC710462,camcan,Movie,False,
sub-CC710486,CC710486,camcan,Movie,False,
